E / V,j / uA cm-2
0.6966,3.6392
0.697,3.6068
0.6973,3.5744
0.6976,3.6608
0.6978,3.6068
0.6981,3.6068
0.6984,3.6716
0.6988,3.596
0.6991,3.65
0.6994,3.6824
0.6997,3.6068
0.6999,3.6932
0.7002,3.6932
0.7006,3.6392
0.7008,3.7256
0.7011,3.6824
0.7014,3.6716
0.7017,3.7472
0.702,3.6824
0.7023,3.704
0.7026,3.758
0.7029,3.6824
0.7033,3.7472
0.7035,3.7688
0.7038,3.6932
0.7041,3.7904
0.7045,3.7688
0.7048,3.7256
0.705,3.8228
0.7053,3.758
0.7056,3.7688
0.7059,3.8444
0.7063,3.7688
